S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
7563,Privi Speciality Chemicals,Chemicals,3.7,98,39.39854522,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7564,Lapp India,Electrical Equipment,4.2,98,28,"Job Security, Work Life Balance, Company Culture",None
7565,TSR Darashaw,BPO,3.7,97,23,"Job Security, Work Life Balance",Promotions / Appraisal
7566,Mistral Solutions,IT Services & Consulting,4,97,27,"Job Security, Skill Development / Learning",None
7567,Comnet Solutions,Telecom,3.4,97,30,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7568,Beyond Key Systems,IT Services & Consulting,4.5,97,19,"Company Culture, Work Life Balance, Skill Development / Learning",None
7569,Link Intime,Investment Banking / Venture Capital / Private Equity,3.3,97,25,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7570,Petronet LNG,Oil & Gas,4.6,97,26,"Job Security, Salary & Benefits, Work Life Balance",None
7571,Liebherr,Industrial Machinery,4,97,11,"Salary & Benefits, Job Security, Skill Development / Learning",None
7572,Tupperware,Retail,3.8,97,78,Work Life Balance,"Promotions / Appraisal, Job Security, Skill Development / Learning"
7573,Varian Medical Systems,Medical Equipment,4,97,76,"Job Security, Work Life Balance, Company Culture",None
7574,Delhi Police,Law Enforcement & Security,4.3,97,163,"Skill Development / Learning, Work Satisfaction, Salary & Benefits",None
7575,Konstelec Engineers,Engineering & Construction,3.4,97,29,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
7576,Gulshan Homz,Real Estate,4.5,97,35,"Work Life Balance, Work Satisfaction, Salary & Benefits",None
7577,Rajagiri Hospital,Healthcare,4.6,97,10,"Company Culture, Skill Development / Learning, Work Satisfaction",None
7578,Gulf Petrochemical Services & Trading,Petrochemicals,3.9,97,41,Job Security,Promotions / Appraisal
7579,Sridevi Tool Engineers,Engineering & Construction,3.7,97,52,Skill Development / Learning,"Company Culture, Salary & Benefits, Promotions / Appraisal"
7580,Numero Uno Clothing,Fashion & Textile,4.1,97,37,"Company Culture, Work Life Balance",Promotions / Appraisal
7581,SmartSchool Education,EdTech,3.8,97,13,None,None
7583,Lennox India Technology Centre,Industrial Machinery,4.4,97,129,"Company Culture, Job Security, Work Life Balance",None
7584,Biotech Vision Care,Healthcare,3.4,97,25,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
7585,MyCar,Automobile,4,97,19,Company Culture,"Job Security, Promotions / Appraisal"
7586,Indo-Tibetan Border Police,Government,4.5,97,62,"Job Security, Salary & Benefits, Skill Development / Learning",None
7590,3Pillar Global,Software Product,3.6,97,18,"Work Life Balance, Company Culture, Skill Development / Learning",Promotions / Appraisal
7594,Idexcel Technologies,IT Services & Consulting,3.7,97,26,"Promotions / Appraisal, Job Security, Salary & Benefits",None
7595,Imedx Information Services,IT Services & Consulting,3.1,97,22,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7596,Saraswati Vidya Mandir,Education & Training,4.2,97,48,"Skill Development / Learning, Work Life Balance, Job Security",None
7597,Solverminds Solutions and Technologies,IT Services & Consulting,4,97,21,"Job Security, Work Satisfaction",None
7598,RATNATRIS PHARMACEUTICALS PRIVATE LIMITED,Pharma,3.9,97,13,"Job Security, Work Life Balance",None
7599,Brady Corporation,Printing & Publishing,4.2,97,110,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
7600,PSRI Hospital,Healthcare,3.9,97,28,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
7601,Agriculture Insurance Company of India,Insurance,4.1,97,22,"Skill Development / Learning, Work Life Balance, Work Satisfaction","Promotions / Appraisal, Job Security"
7602,Oorja Technical Services,Electrical Equipment,3.4,97,20,"Promotions / Appraisal, Job Security, Work Satisfaction",None
7603,Patel Motors,Auto Components,4,97,31,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
7604,Chinmaya Vidyalaya,Education & Training,4.2,97,71,"Skill Development / Learning, Salary & Benefits, Job Security",None
7605,Comed Chemicals,Pharma,3.5,97,38,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7606,Rotork Controls,Industrial Machinery,3.8,97,67,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7607,Possible Health,Fitness & Wellness,3.2,97,9,"Job Security, Work Satisfaction, Company Culture",None
7608,Milliman,Management Consulting,3.3,97,77,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction",None
7609,Lithium Urban Technologies,Urban Transport,3.5,97,11,"Promotions / Appraisal, Work Satisfaction, Company Culture",None
7610,Dachser,Logistics,3.9,97,30,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7611,MTS,Telecom,3.9,97,58,"Skill Development / Learning, Promotions / Appraisal, Work Satisfaction",None
7612,Naresh i Technologies,IT Services & Consulting,4.1,97,20,"Skill Development / Learning, Work Life Balance, Work Satisfaction",None
7616,Metro Shoes,Fashion & Textile,4.4,97,77,"Skill Development / Learning, Company Culture, Work Satisfaction",None
7617,Go Speedy Go,Automobile,4.2,97,7,"Work Life Balance, Salary & Benefits, Job Security",None
7618,Jindal Water Infrastructure,Waste Management,4.4,97,18,"Job Security, Salary & Benefits, Work Life Balance",None
7619,Ddrc Srl Diagnostics,Healthcare,3.8,97,41,"Promotions / Appraisal, Work Satisfaction, Salary & Benefits",None
7621,Abhyudaya Co-operative Bank,Banking,4.2,97,60,"Work Life Balance, Job Security",Promotions / Appraisal
7622,Tecosim Engineering Services,Industrial Machinery,3.1,97,15,"Job Security, Promotions / Appraisal, Work Life Balance",None
7623,Creative Info-link,IT Services & Consulting,3.3,97,13,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7624,TBSS,Unknown,3.9,97,39.39854522,"Promotions / Appraisal, Work Life Balance, Salary & Benefits",None
7625,Government Of Tamilnadu,Government,3.8,97,74,"Work Life Balance, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
7626,Competition Team Technology,Electronics Manufacturing,4.1,97,39.39854522,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
7627,Deoleo,Food Processing,4,97,34,"Skill Development / Learning, Company Culture, Salary & Benefits",None
7629,Param Renewable Energy,Power,4.4,97,39.39854522,"Company Culture, Skill Development / Learning, Work Satisfaction",None
7630,Nimbus BPO,BPO,3.8,97,39.39854522,Salary & Benefits,None
7631,SentientGeeks,IT Services & Consulting,4.7,97,7,"Company Culture, Skill Development / Learning, Work Satisfaction",None
7632,Bloombrain Learning Solutions,EdTech,2.7,97,39.39854522,"Salary & Benefits, Job Security, Promotions / Appraisal",None
7633,SDNA Global,Recruitment,3.8,97,14,"Work Life Balance, Salary & Benefits, Company Culture",None
7634,Retailio,Internet,3.8,97,8,Promotions / Appraisal,None
7635,AlmaBetter,Unknown,3.4,97,39.39854522,"Job Security, Promotions / Appraisal, Work Satisfaction",None
7636,yellow.ai,Software Product,3.4,97,8,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
7637,Hike Education Private Limited,EdTech,3.3,97,10,"Job Security, Work Life Balance, Work Satisfaction",None
7638,Java R & D,IT Services & Consulting,3.1,97,16,"Job Security, Company Culture, Promotions / Appraisal",None
7639,Arrow Electronics,Semiconductors,3.6,97,34,Job Security,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
7640,BrainerHub,Software Product,4.6,97,39.39854522,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
7641,Amphenol Omniconnect - India,Electronics Manufacturing,4,96,16,"Work Life Balance, Job Security","Promotions / Appraisal, Salary & Benefits"
7642,Samarth Lifestyle Retailing,Retail,4.5,96,29,"Skill Development / Learning, Company Culture, Work Life Balance",None
7643,NU Hospitals,Healthcare,3.9,96,25,"Skill Development / Learning, Work Life Balance, Company Culture",None
7644,Roto Pumps,Industrial Machinery,3.8,96,56,"Promotions / Appraisal, Job Security, Work Life Balance",None
7645,Mawana Sugars,Food Processing,4.2,96,63,"Job Security, Company Culture, Work Life Balance",None
7646,Indo Gulf Fertilisers,Agro Chemicals,4.6,96,21,"Job Security, Work Life Balance, Company Culture",None
7647,Aditya Birla Chemicals,Chemicals,3.9,96,40,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7648,Kamal Fincap,Financial Services,4,96,11,Salary & Benefits,None
7649,Tide Water Oil,Chemicals / Agri Inputs,3.7,96,96,Company Culture,Promotions / Appraisal
7650,Satnam Global Infra Projects,Electronics Manufacturing,3.7,96,37,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7651,Al Bawani Co.,Engineering & Construction,3.8,96,33,"Promotions / Appraisal, Company Culture, Salary & Benefits",None
7652,Alchemist Hospital,Healthcare,4.1,96,30,"Work Life Balance, Job Security, Salary & Benefits",None
7653,Corporation Bank,Banking,4.5,96,118,"Job Security, Company Culture, Skill Development / Learning",None
7654,Royal HaskoningDHV,Engineering & Construction,4.5,96,143,"Company Culture, Work Life Balance, Work Satisfaction",None
7655,Panamax Infotech,IT Services & Consulting,3.3,96,23,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning",None
7656,Choksi Laboratories,Unknown,3.6,96,42,"Salary & Benefits, Promotions / Appraisal, Job Security",None
7657,Obeetee,Fashion & Textile,3.9,96,88,"Work Life Balance, Promotions / Appraisal, Work Satisfaction",None
7658,Indian Synthetic Rubber,Petrochemicals,3.7,96,14,"Work Life Balance, Job Security","Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
7659,Skillventory,Recruitment,3.9,96,16,"Job Security, Company Culture, Work Life Balance",None
7660,Veena world,Travel & Tourism,3.7,96,11,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7661,Polyplastics,Petrochemicals,4.1,96,62,"Job Security, Skill Development / Learning, Work Life Balance",None
7662,Saifee Hospital,Healthcare,3.7,96,19,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
7663,Gm Infinite Dwelling,Real Estate,2.4,96,62,"Promotions / Appraisal, Job Security, Company Culture",None
7667,Breach Candy Hospital Trust,Healthcare,4.4,96,74,"Job Security, Salary & Benefits, Work Satisfaction",None
7668,Jubilant Motorworks,Auto Components,4.1,96,15,"Work Life Balance, Company Culture",Promotions / Appraisal
7669,Gokul Agro Resources,FMCG,3.8,96,10,Work Life Balance,"Promotions / Appraisal, Salary & Benefits"
7670,Zydus Pharma,Pharma,4,96,39.39854522,None,None
7671,Jabsons Foods,Food Processing,4.3,96,32,"Job Security, Work Life Balance, Company Culture",None
7672,Khivraj Motors,Automobile,4.3,96,63,"Job Security, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7673,Sysinformation Healthcare,Healthcare,3.3,96,19,"Promotions / Appraisal, Work Life Balance, Work Satisfaction",None
7674,Infojini,IT Services & Consulting,3.4,96,18,"Job Security, Skill Development / Learning, Work Satisfaction",None
7676,Finar,Chemicals,4.3,96,26,"Skill Development / Learning, Company Culture, Job Security",None
7678,Fertilisers and Chemicals Travancore,Agro Chemicals,4.1,96,81,"Work Life Balance, Job Security, Company Culture",None
7680,Manav Rachna International School,Education & Training,4.2,96,27,"Job Security, Skill Development / Learning, Work Life Balance",None
7681,Firmenich Aromatics,Chemicals,4.4,96,129,"Work Life Balance, Company Culture, Job Security",Promotions / Appraisal
7682,LIC Mutual Fund,Financial Services,3.8,96,35,Work Life Balance,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits"
7683,Coldex Logistics,Logistics,3.1,96,19,"Work Satisfaction, Job Security, Work Life Balance",None
7684,Bl International,Fashion & Textile,3.9,96,33,Work Life Balance,"Promotions / Appraisal, Job Security, Company Culture"
7685,W3Global,Recruitment,3.8,96,18,"Salary & Benefits, Work Life Balance",None
7687,Netxcell,Telecom,3.6,96,24,"Promotions / Appraisal, Job Security, Company Culture",None
7688,Tatsuno India,Oil & Gas,3.9,96,18,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
7689,TechNova Imaging Systems,Printing & Publishing,4.3,96,53,"Job Security, Company Culture",Promotions / Appraisal
7690,Chandan Healthcare,Healthcare,3.1,96,33,"Promotions / Appraisal, Job Security, Company Culture",None
7691,Pearl Polymers,Unknown,4.5,96,40,"Company Culture, Work Life Balance, Skill Development / Learning",None
7692,Prateek Group,Real Estate,3.6,96,19,"Work Life Balance, Skill Development / Learning, Promotions / Appraisal",None
7693,Orient Fashions,Fashion & Textile,4.2,96,51,"Work Life Balance, Company Culture, Work Satisfaction",None
7694,LAKME ACADEMY,Beauty & Personal Care,3.9,96,44,"Promotions / Appraisal, Job Security",None
7695,Auma,Industrial Automation,3.9,96,60,Job Security,"Promotions / Appraisal, Skill Development / Learning, Work Satisfaction"
7696,Kisan Mouldings,Building Material,3.7,96,42,Work Satisfaction,"Promotions / Appraisal, Work Life Balance, Salary & Benefits"
7697,Jaycee Punching Solution,Electronics Manufacturing,4.2,96,17,"Work Satisfaction, Company Culture, Work Life Balance",Promotions / Appraisal
7698,iServeU,FinTech,3.7,96,8,"Promotions / Appraisal, Job Security",None
7699,Simplify Healthcare,Software Product,3.2,96,16,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
7703,Eka Software Solutions,IT Services & Consulting,3.7,96,20,Salary & Benefits,"Job Security, Company Culture, Work Satisfaction"
7704,Centrient Pharmaceuticals,Pharma,3.8,96,155,Company Culture,Promotions / Appraisal
7705,MSys Tech India,Software Product,4,96,17,"Work Life Balance, Company Culture, Salary & Benefits",None
7707,Captain Steel India Limited,Iron & Steel,4.1,96,17,Promotions / Appraisal,None
7708,FranchiseTrade,Management Consulting,4.4,96,7,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
7709,DOCON TECHNOLOGIES,Internet,4,96,39.39854522,Salary & Benefits,"Job Security, Promotions / Appraisal"
7710,Delhi Institute of Digital Marketing (DIDM),Education & Training,3.8,96,10,"Skill Development / Learning, Work Life Balance, Salary & Benefits",None
7711,Zydus Hospira Oncology,Unknown,4.4,96,39.39854522,"Skill Development / Learning, Company Culture, Job Security",None
7712,ZunRoof Tech,Power,3.5,96,8,"Job Security, Work Life Balance, Promotions / Appraisal",None
7713,Nordex India,Internet,3.5,96,39,Work Life Balance,"Promotions / Appraisal, Company Culture, Skill Development / Learning"
7714,Antino Labs,IT Services & Consulting,3.3,96,6,"Job Security, Salary & Benefits, Promotions / Appraisal",None
7715,Piramal Finance Sales And Service,NBFC,4.2,96,39.39854522,"Company Culture, Salary & Benefits, Work Life Balance",None
7716,Deepak Foundation,Non-Profit,3.9,95,42,"Work Life Balance, Job Security, Salary & Benefits",None
7717,Petroleum Development Oman,Petrochemicals,4.3,95,87,"Work Life Balance, Company Culture, Salary & Benefits",Job Security
7718,Express KCS,Marketing & Advertising,4,95,20,Work Life Balance,Promotions / Appraisal
7719,Manali Petrochemicals,Chemicals,3.8,95,38,"Salary & Benefits, Promotions / Appraisal, Company Culture",None
7720,Ags Infotech,IT Services & Consulting,4.3,95,39.39854522,"Job Security, Salary & Benefits, Work Life Balance",None
7721,Home-revise Education,EdTech,3.5,95,22,"Job Security, Promotions / Appraisal, Salary & Benefits",None
7722,Eye7 Chaudhary Eye Centre,Healthcare,3.4,95,37,Work Life Balance,None
7723,Alp Overseas,Auto Components,4.1,95,40,"Work Life Balance, Job Security, Salary & Benefits",None
7724,Thinkapps Solutions,Recruitment,4,95,15,"Company Culture, Skill Development / Learning, Work Life Balance",Promotions / Appraisal
7725,BRIGHTVIEW TELECOM,Telecom,3.6,95,16,"Salary & Benefits, Work Satisfaction, Company Culture",None
7726,Hbk Contracting Company Wll,Engineering & Construction,4.4,95,54,"Salary & Benefits, Work Life Balance, Work Satisfaction",None
7727,InSync Analytics,Analytics & KPO,2.6,95,18,"Work Life Balance, Work Satisfaction, Promotions / Appraisal",None
7729,Fabtech Technologies International,Engineering & Construction,3.5,95,25,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7731,PRERANA MOTORS,Automobile,4.2,95,33,"Work Life Balance, Skill Development / Learning, Company Culture",Salary & Benefits
7732,SPARX IT Solutions,IT Services & Consulting,4,95,16,"Work Life Balance, Company Culture, Skill Development / Learning",None
7733,Enterslice,FinTech,4,95,10,"Skill Development / Learning, Work Satisfaction, Company Culture",None
7734,VIVO Healthcare,Healthcare,3.4,95,15,"Promotions / Appraisal, Job Security, Salary & Benefits",None
7735,Yamaha Music India,Media & Entertainment,3.9,95,16,"Job Security, Company Culture, Work Life Balance",Promotions / Appraisal
7736,HealthAssure,Fitness & Wellness,3.3,95,13,"Promotions / Appraisal, Job Security, Salary & Benefits",None
7737,Pride Purple Group,Real Estate,4.1,95,24,"Company Culture, Job Security, Skill Development / Learning",None
7738,Forbes Facility Services,Facility Management Services,4.3,95,18,"Work Life Balance, Company Culture, Job Security",None
7739,Sonovision-Aetos,IT Services & Consulting,3.7,95,18,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits, Job Security"
7740,BrowserStack,IT Services & Consulting,3.7,95,13,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Job Security"
7742,Camlin Fine Sciences,Chemicals,3.7,95,93,"Promotions / Appraisal, Job Security, Company Culture",None
7744,SKYMAP PHARMACEUTICALS,Pharma,4.1,95,17,"Work Life Balance, Job Security, Work Satisfaction",None
7747,Sanghvi Movers,Industrial Machinery,4.1,95,35,"Skill Development / Learning, Work Satisfaction, Company Culture",None
7749,Planet PCI Infotech,Recruitment,4,95,25,"Company Culture, Skill Development / Learning, Work Satisfaction",None
7753,Rasandik Engineering Industries India,Auto Components,3.6,95,38,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7754,Artson Engineering,Engineering & Construction,3.9,95,46,Job Security,Promotions / Appraisal
7755,Eastern Book Company,Printing & Publishing,3.4,95,82,"Promotions / Appraisal, Company Culture, Work Satisfaction",None
7756,Shivalik Rasayan,Agro Chemicals,3.8,95,43,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7757,Platinum One,Unknown,3.4,95,16,"Skill Development / Learning, Company Culture, Work Satisfaction",None
7758,Remsons Industries,Auto Components,3.9,95,65,Skill Development / Learning,"Job Security, Promotions / Appraisal"
7759,Dhanlaxmi Bank,Banking,4.3,95,97,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
7760,Lohia Auto Industries,Automobile,3.9,95,16,Work Life Balance,Promotions / Appraisal
7761,Kirtane & Pandit,Accounting & Auditing,3.8,95,68,"Job Security, Company Culture, Work Life Balance","Salary & Benefits, Promotions / Appraisal"
7762,RPP Infra Projects,Engineering & Construction,3.9,95,36,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7763,Demech Chemical Products,Chemicals,4.7,95,39.39854522,"Job Security, Skill Development / Learning, Work Life Balance",None
7764,Lloyds Metals And Energy,Iron & Steel,3.8,95,38,"Work Life Balance, Company Culture, Work Satisfaction",None
7767,Expo Machine Tools,Industrial Machinery,4.9,95,39.39854522,"Skill Development / Learning, Work Life Balance, Promotions / Appraisal",None
7768,SPJ group,FMCG,3.1,95,62,"Promotions / Appraisal, Job Security, Skill Development / Learning",None
7770,MGM Medical College & Hospital,Healthcare,4.1,95,63,"Promotions / Appraisal, Salary & Benefits",None
7771,Sharda Hospital,Healthcare,3.7,95,18,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
7772,HYOSUNG T&D,Electrical Equipment,3.9,95,39.39854522,"Promotions / Appraisal, Skill Development / Learning, Salary & Benefits",None
7773,Sahyadri Farmers Producer Company,Food Processing,3.5,95,14,"Salary & Benefits, Promotions / Appraisal, Job Security",None
7774,Starworth Infrastructure Construction,Engineering & Construction,4,95,23,"Salary & Benefits, Job Security, Company Culture",None
7775,Marsh India Insurance Brokers,Insurance,4.1,95,21,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
7776,Setco Automotive,Auto Components,3.9,95,42,Work Life Balance,None
7777,Stonex,Internet,4.2,95,23,"Job Security, Skill Development / Learning, Company Culture",None
7778,Sms Integrated Facility Services,Facility Management Services,4.2,95,56,"Company Culture, Skill Development / Learning, Job Security",None
7779,Pullman New Delhi Aerocity,Hospitality,4.5,95,9,"Salary & Benefits, Skill Development / Learning, Work Life Balance",None
7782,ABB GISL,Electrical Equipment,4.1,95,39.39854522,"Job Security, Work Life Balance, Company Culture","Promotions / Appraisal, Salary & Benefits"
7785,AccSource KPO,Accounting & Auditing,4,95,16,"Job Security, Work Life Balance, Skill Development / Learning",None
7786,Tata Communications Payment Solutions,Financial Services,3.9,95,39.39854522,"Promotions / Appraisal, Job Security, Work Life Balance",None
7787,IBC Techno,Unknown,5,95,39.39854522,"Company Culture, Salary & Benefits, Job Security",None
7788,Thar Worx,BPO,4,95,39.39854522,"Work Life Balance, Company Culture, Job Security",None
7789,Drip Capital,FinTech,4.1,95,10,"Company Culture, Work Life Balance, Work Satisfaction",None
7790,Nanavati Max Super Speciality Hospital,Unknown,3.9,95,39.39854522,Skill Development / Learning,"Promotions / Appraisal, Salary & Benefits"
7791,Techmihirnaik group,Logistics,4.2,95,5,"Work Life Balance, Company Culture, Skill Development / Learning",Salary & Benefits
7792,Sarvagram Fincare,NBFC,3.9,95,39.39854522,"Salary & Benefits, Company Culture, Skill Development / Learning",None
7793,Actalent Engineering & Sciences,IT Services & Consulting,3.5,95,39.39854522,Job Security,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning"
7794,Ras Media & Entertainment,Unknown,4,95,39.39854522,"Company Culture, Skill Development / Learning, Work Satisfaction",None
7795,Conserve Solution,Engineering & Construction,4,95,8,Skill Development / Learning,None
7796,Solugenix India Private Limited,IT Services & Consulting,3.7,95,19,"Promotions / Appraisal, Job Security, Work Satisfaction",None
7797,Brigosha Technologies,IT Services & Consulting,2.6,95,14,"Work Life Balance, Company Culture, Job Security",None
7798,Wishup,Financial Services,4.3,95,9,"Work Life Balance, Skill Development / Learning, Work Satisfaction",None
7799,Pai International Electronics,Electronics Manufacturing,4.4,94,24,"Company Culture, Job Security, Skill Development / Learning",None
7800,Voltech Hr Services,Recruitment,3.6,94,10,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7801,Everest Blowers,Industrial Machinery,4,94,44,"Job Security, Promotions / Appraisal, Salary & Benefits",None
7802,Line O Matic Graphic Industries,Pulp & Paper,3.8,94,27,Salary & Benefits,"Promotions / Appraisal, Work Satisfaction, Skill Development / Learning"
7803,Vehant Technologies,IT Services & Consulting,4.2,94,19,"Job Security, Work Life Balance, Work Satisfaction",None
7804,Creditas Solutions,FinTech,3.2,94,9,"Promotions / Appraisal, Work Satisfaction, Job Security",None
7805,Fastway Transmission Pvt.ltd,Telecom,3.6,94,16,"Promotions / Appraisal, Job Security, Salary & Benefits",None
7806,CriticalRiver,IT Services & Consulting,3.3,94,10,"Promotions / Appraisal, Skill Development / Learning, Job Security",None
7807,Monocept,Software Product,3.8,94,12,Skill Development / Learning,Promotions / Appraisal
7808,Ameriprise India,Financial Services,3.7,94,39.39854522,"Job Security, Work Life Balance, Company Culture",None
7809,Bharat BPO Services,BPO,4.6,94,18,"Job Security, Company Culture, Skill Development / Learning",None
7810,GlobeGround India,Aviation,4.2,94,25,"Skill Development / Learning, Work Satisfaction","Promotions / Appraisal, Salary & Benefits"
7811,Naresh Kumar & Co.,Urban Transport,3.8,94,99,"Work Life Balance, Job Security, Company Culture",Promotions / Appraisal
7812,MAP Systems,IT Services & Consulting,3.2,94,31,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7813,Allahabad High Court,Law Enforcement & Security,4.4,94,155,"Work Life Balance, Skill Development / Learning, Company Culture",Promotions / Appraisal
7814,MResult Services,IT Services & Consulting,4.1,94,20,"Work Life Balance, Company Culture",None
7815,Maven Wave Partners,IT Services & Consulting,4.2,94,16,"Skill Development / Learning, Work Life Balance, Job Security",None
7816,Takahata Precision,Auto Components,3.9,94,13,Company Culture,Promotions / Appraisal
7817,ERA's Lucknow Medical College & Hospital,Education & Training,3.8,94,23,"Job Security, Company Culture, Work Life Balance",None
7818,Durr India,Industrial Automation,3.7,94,27,Job Security,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction"
7819,Electrolab,Medical Equipment,3.1,94,40,"Salary & Benefits, Promotions / Appraisal, Work Satisfaction",None
7820,P N Gadgil Jewellers,Retail,4.5,94,192,"Work Life Balance, Skill Development / Learning, Company Culture",None
7821,Wittur Elevator Components,Industrial Machinery,3.6,94,56,"Company Culture, Promotions / Appraisal, Salary & Benefits",None
7822,Tv18 Broadcast,Media & Entertainment,4.2,94,28,"Job Security, Skill Development / Learning, Company Culture",None
7823,Madura Fashion & Lifestyle,Unknown,4.1,94,36,"Salary & Benefits, Company Culture, Skill Development / Learning",Promotions / Appraisal
7824,Cholamandalam Securities,Investment Banking / Venture Capital / Private Equity,4,94,46,"Salary & Benefits, Work Life Balance",None
7825,Regency Health Care,Unknown,4.3,94,29,"Skill Development / Learning, Company Culture, Job Security",None
7826,Accel Limited,IT Services & Consulting,3.8,94,33,Work Life Balance,Promotions / Appraisal
7827,JSL Stainless,Iron & Steel,4.3,94,54,"Job Security, Work Life Balance, Skill Development / Learning",Promotions / Appraisal
7828,ABIL Group,Real Estate,4.2,94,45,"Work Life Balance, Job Security, Company Culture",None
7829,Xoxoday,Software Product,3.8,94,12,Salary & Benefits,None
7830,Coloplast,Healthcare,3.3,94,70,"Job Security, Promotions / Appraisal, Work Satisfaction",None
7831,Kirloskar Ebara Pumps,Industrial Machinery,3.7,94,36,"Promotions / Appraisal, Salary & Benefits, Job Security",None
7832,ABV Rock Group,Engineering & Construction,4.2,94,50,"Work Life Balance, Work Satisfaction, Company Culture",Promotions / Appraisal
7833,Printo Document Services,Retail,3.4,94,18,"Promotions / Appraisal, Salary & Benefits, Work Satisfaction",None
7834,Adnet Global,Animation & VFX,3.1,94,29,"Promotions / Appraisal, Salary & Benefits, Company Culture",None
7835,Fiverr Inc.,Internet,4.3,94,14,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
7836,W3Softech India,IT Services & Consulting,4.2,94,13,"Skill Development / Learning, Company Culture, Work Life Balance",None
7837,Verificient Technologies,Emerging Technologies,3.7,94,39.39854522,"Promotions / Appraisal, Salary & Benefits, Skill Development / Learning",None
7838,Sai Service Station,Auto Components,4,94,39,"Skill Development / Learning, Company Culture","Promotions / Appraisal, Work Satisfaction"
7839,GTPL-KCBPL,Telecom,4,94,14,"Job Security, Skill Development / Learning",Promotions / Appraisal
7840,MENTORS EDUSERV,EdTech,3.9,94,12,"Skill Development / Learning, Company Culture, Work Life Balance",None
7842,Vtc Tradewings,Logistics,4.2,94,55,"Skill Development / Learning, Work Satisfaction, Work Life Balance",None
7846,GA Infra Private Limited,Engineering & Construction,4.3,94,12,"Company Culture, Work Satisfaction, Work Life Balance",None
7847,Shree Shubham Logistics,Logistics,4.4,94,17,"Company Culture, Work Life Balance, Work Satisfaction",None
7854,Preet Group,Unknown,3.2,94,47,"Job Security, Company Culture, Promotions / Appraisal",None
7855,Rubicon Skill Development,EdTech,2.3,94,7,"Salary & Benefits, Job Security, Promotions / Appraisal",None
7856,Profectus Capital,Financial Services,4.1,94,7,"Skill Development / Learning, Company Culture, Work Life Balance",None
7857,Jarvis Technology and Strategy Consulting,Management Consulting,3.3,94,8,"Job Security, Promotions / Appraisal, Work Life Balance",None
7858,Steadfast Medishield,Pharma,3.6,94,39.39854522,Salary & Benefits,None
7859,VHB Life Sciences Limited,Pharma,3.3,94,78,"Work Satisfaction, Promotions / Appraisal, Salary & Benefits",None
7860,Bharat Petroleum Mumbai Refinery,Unknown,4,94,39.39854522,"Salary & Benefits, Company Culture, Work Satisfaction",None
7861,Shilpa Biologicals,Unknown,2.9,94,39.39854522,"Job Security, Company Culture, Salary & Benefits",None
7862,TP Southern Odisha Distribution,Unknown,3.8,94,39.39854522,Job Security,"Promotions / Appraisal, Salary & Benefits"
