S.No.,Company,Type,Rating,Reviewers,Age,Highly_Ratedfor,Critically_Ratedfor
146,Dell,Consumer Electronics & Appliances,4.2,3300,40,"Company Culture, Work Life Balance, Skill Development / Learning",None
147,Bajaj Auto,Automobile,3.9,3300,79,Promotions / Appraisal,None
148,KEC International,Engineering & Construction,4.1,3200,79,"Job Security, Skill Development / Learning, Company Culture",Promotions / Appraisal
149,Future Group,Retail,4.3,3200,11,"Skill Development / Learning, Company Culture, Work Life Balance",None
150,Piramal Capital Housing Finance,NBFC,4.2,3200,4,"Company Culture, Skill Development / Learning, Work Life Balance",None
151,Aditya Birla Fashion and Retail,Fashion & Textile,4.2,3200,9,"Job Security, Skill Development / Learning, Company Culture",None
152,Muthoot Fincorp,NBFC,4.1,3200,137,"Job Security, Work Life Balance, Skill Development / Learning","Promotions / Appraisal, Salary & Benefits"
153,Royal Enfield,Automobile,4.3,3100,123,"Skill Development / Learning, Company Culture, Work Satisfaction",None
154,L&T Finance,NBFC,4,3100,30,"Salary & Benefits, Skill Development / Learning",None
155,Viatris,Pharma,4.3,3000,4,"Salary & Benefits, Job Security, Work Life Balance",None
156,Tata Communications,Telecom,4.2,3000,38,"Job Security, Company Culture, Skill Development / Learning",Promotions / Appraisal
157,Samvardhana Motherson Group,Auto Components,3.8,3000,38,Job Security,None
158,Intas Pharmaceuticals,Pharma,4.2,3000,47,"Job Security, Salary & Benefits, Work Life Balance",None
159,LG Electronics,Consumer Electronics & Appliances,4.1,3000,66,"Job Security, Skill Development / Learning, Salary & Benefits",None
160,Varun Beverages,Beverage,4.1,3000,29,"Job Security, Salary & Benefits",Promotions / Appraisal
161,John Deere,Industrial Machinery,4.3,3000,23,"Company Culture, Skill Development / Learning, Work Life Balance",None
162,Kogta Financial India Limited,NBFC,4.8,3000,28,"Company Culture, Work Life Balance, Work Satisfaction",None
163,Persistent Systems,IT Services & Consulting,3.8,3000,34,Company Culture,Promotions / Appraisal
164,Godrej & Boyce Manufacturing,Engineering & Construction,3.9,2900,127,Job Security,Promotions / Appraisal
165,Randstad,Recruitment,3.9,2900,32,"Promotions / Appraisal, Job Security",None
166,Thermax Limited,Industrial Machinery,4.2,2900,58,"Job Security, Company Culture, Skill Development / Learning",None
167,Hetero Drugs,Pharma,3.9,2900,31,Job Security,"Promotions / Appraisal, Salary & Benefits"
168,Deutsche Bank,Banking,4.1,2900,154,"Job Security, Work Life Balance, Company Culture",None
169,Macleods Pharmaceuticals,Pharma,3.8,2900,38,Job Security,Promotions / Appraisal
170,Havells,Electrical Equipment,4.1,2900,41,"Work Life Balance, Salary & Benefits, Company Culture",None
171,CARS24,Internet,3.7,2900,9,"Job Security, Promotions / Appraisal, Work Satisfaction",None
172,Team Lease,Recruitment,4,2800,8,Promotions / Appraisal,None
173,Sodexo,Facility Management Services,4.1,2800,16,"Company Culture, Skill Development / Learning, Work Life Balance",None
174,Subros,Auto Components,4,2800,39,"Job Security, Skill Development / Learning, Company Culture","Salary & Benefits, Promotions / Appraisal"
175,Abbott,Pharma,4.1,2800,136,"Company Culture, Salary & Benefits, Work Life Balance",Promotions / Appraisal
